DAY,TIME,COURT,HOME,AWAY,,,,,,
THUR,10:15 AM,24,Nebraska Lasers 16U - 41,Illinois Dream Team - 61,,,,,,
THUR,10:15 AM,25,Wisconsin Blizzard 16U Hawley - 44,Texas United Blue - 62,,,,,,
THUR,10:15 AM,26,DFW Elite Power Puff Girls - 14,North Tartan 14U - 56,,,,,,
THUR,10:15 AM,27,Fencor Strothers - 40,Baltimore Lady Panthers 16U - 59,,,,,,
THUR,10:15 AM,28,Midatlantic Heat 2 - 28,PSPA 16U Select - Coffield - 44,,,,,,
THUR,10:15 AM,29,Comets Shumoski - 62,Houston Lady Roadrunners - 60,,,,,,
THUR,10:15 AM,30,Epiphany Prince Elite 14U - 53,Team Takeover 14U - 60,,,,,,
THUR,10:15 AM,31,Queens Express 15U - 30,Midwest Sports Academy - 33,,,,,,
THUR,10:15 AM,32,Full Package White - 49,O.M.S. - 60,,,,,,
THUR,10:15 AM,33,Arkansas Hawks 16U - 55,Quad City Attack Fr/So- 40,,,,,,
THUR,10:15 AM,34,Team Miller Lightning 16U - 59,Illinois Rage - 61,,,,,,
THUR,10:15 AM,35,New Jersey Sparks 14U - 41,Always 100 Roller - 43,,,,,,
THUR,10:15 AM,36,Seidman Lady Wildcats - 56,Best Choice Indiana - 57,,,,,,
THUR,10:15 AM,37,Rockies 17U Red - 62,IL Lady Lightning Gold - 47,,,,,,
THUR,10:15 AM,38,Cal Stars Nike Flight - 45,Team Fort Worth Elite - 20,,,,,,
THUR,10:15 AM,39,New England Shooting Stars - 38,St. Louis Rockets 17U - 50,,,,,,
THUR,10:15 AM,40,OTCYBC Shot Callers - 25,CT Spirit - 75,,,,,,
THUR,10:15 AM,41,Bolingbrook Panthers 14U - 34,Central Jersey Hawks Martorelli - 44,,,,,,
THUR,10:15 AM,42,Drill for Skill Joyce - 54,Crossover Select - 27,,,,,,
THUR,10:15 AM,43,NY Belles 17U - 47,New Mexico Select - 66,,,,,,
THUR,10:15 AM,44,Lady Runnin’ Rebels Black Cranston - 29,Midwest Elite Weibel - 44,,,,,,
THUR,10:15 AM,45,Cardinal Elite - 53,DSO Elite - 23,,,,,,
THUR,10:15 AM,46,Team Manitoba 16U - 13,Central Florida Elite 2016 - 50,,,,,,
THUR,11:30 AM,1,Bolingbrook Panthers 15U - 30,Lakers Gold U15 Freshman - 48,,,,,,
THUR,11:30 AM,2,NY iEXCEL 15U - 52,East Texas Premier - 10,,,,,,
THUR,11:30 AM,3,Cal Swish Future National - 52,Virginia Diamonds - 51,,,,,,
THUR,11:30 AM,4,Rockford Heat Sophomore,Bulls Elite Silver,,,,,,
THUR,11:30 AM,5,Oshkosh Flight Elite - Levy,Tigers Orange,,,,,,
THUR,11:30 AM,6,Michigan Crossover 2016,Cal Stars Flight 2017,,,,,,
THUR,11:30 AM,7,Always 100 Andrews,Full Package Kahleaf,,,,,,
THUR,11:30 AM,8,Lady Thunder,Torch Showcase,,,,,,
THUR,11:30 AM,9,Central Jersey Hawks,Wisconsin Impact 2017 Nikolic,,,,,,
THUR,11:30 AM,10,Indy Gym Rats Blue - 55,South Texas Hoyas Gray - 44,,,,,,
THUR,11:30 AM,11,NO GAME,NO GAME,,,,,,
THUR,11:30 AM,12,Minnesota Fury 2016 Blue - 40,Team Ontario 16U - 42,,,,,,
